Code,P_m (bar),acquisition time (s),assemblage,state,heater voltage (V),T (C),T (K),T error,NaCl_111,NaCl_111_error,NaCl_200,NaCl_200_error,NaCl_220,NaCl_220_error,NaCl_222,NaCl_222_error,NaCl_420,NaCl_420_error,NaCl_422,NaCl_422_error,NaCl_Vm (1e-6 m^3 pfu),NaCl_Vm_error (1e-6 m^3 pfu),P_300 (GPa),P_300_error (GPa),P_tot (GPa),P_tot_error (GPa)
399053,27,60,Hg,solid,80,127.5,400.65,1,,,,,,,,,,,,,,,,,,
399054,27,60,Hg,solid,82,132,405.15,1,,,,,,,,,,,,,,,,,,
399055,27,60,hg,solid,82,138,411.15,1,,,,,,,,,,,,,,,,,,
399056,27,60,Hg,solid,89,140.7,413.85,1.1,,,,,,,,,,,,,,,,,,
399052,27,60,Hg + NaCl,solid,78,123,396.15,1,2.87284,0.00297007,3.31538,0.00148531,4.69081,0.000630752,5.74681,0.00202271,7.41926,0.00165663,8.12731,0.00257186,24.617104327426528,0.023330802,2.8216058731507987,0.12201047578639107,,
399058,27,60,Hg,solid,90,146.25,419.4,1.4,,,,,,,,,,,,,,,,,,
399059,27,60,Hg + NaCl,solid,90,147.65,420.8,1.1,2.87716,0.00311152,3.31822,0.00113557,4.69378,0.000865559,5.75215,0.00215624,7.42398,0.00210662,8.13243,0.0029635,24.570716335982667,0.026815981,2.918600999209468,0.12844570960746268,,
399060,27,60,Hg,solid,91,150.3,423.45,1,,,,,,,,,,,,,,,,,,
399057,27,60,Hg,solid,89,142.6,415.75,1,,,,,,,,,,,,,,,,,,
399061,27,60,Hg,solid,91,150.6,423.75,1,,,,,,,,,,,,,,,,,,
399063,27,60,Hg,solid,91,151,424.15,1,,,,,,,,,,,,,,,,,,
399064,27,60,Hg + NaCl,solid,92,151.5,424.65,1,2.87266,0.00282085,3.31984,0.0013278,4.69504,0.000994781,5.75202,0.00213815,7.42783,0.0021705,8.13475,0.00279261,24.549735194684963,0.025240837,2.9179539473102487,0.12060677556538826,,
399065,27,60,Hg,solid,92,152.1,425.25,1,,,,,,,,,,,,,,,,,,
399066,27,60,Hg,solid,92,152.55,425.7,1.2,,,,,,,,,,,,,,,,,,
399092,28,60,Hg + NaCl,liquid,105,183.1,456.25,1.9,2.87884,0.000988991,3.32633,0.00082,4.70608,0.000295019,5.76422,0.000491797,7.44478,0.000717527,8.15234,0.00109345,24.391433845897502,0.009798096,3.1658009939910117,0.050193219,,
399093,29,60,Hg + NaCl,liquid,106,185.8,458.95,1.4,2.88256,0.000865881,3.3296,0.000838852,4.70974,0.000267303,5.76938,0.000466533,7.45077,0.000677289,8.15809,0.00118619,24.339982291542757,0.01059919,3.2718341040794274,0.048411344,,
399094,30,60,Hg + NaCl,liquid,106,187.15,460.3,1.3,2.88256,0.00114582,3.3296,0.00111005,4.70974,0.000353721,5.76938,0.00061736,7.45077,0.000896253,8.15809,0.00156968,24.339982291542757,0.014025862,3.2718341040794274,0.061898671,,
399095,31,60,Hg + NaCl,liquid,106,188,461.15,1.2,2.88256,0.001086,3.3296,0.0010521,4.70974,0.000335254,5.76938,0.000585129,7.45077,0.000849462,8.15809,0.00148773,24.339982291542757,0.013293598,3.2718341040794274,0.058980816460844104,,
399113,32,60,Hg,solid,125,233.3,506.45,1.3,,,,,,,,,,,,,,,,,,
399114,32,60,Hg + NaCl,solid,125,234.2,507.35,1.3,2.90434,0.00232153,3.35246,0.00124371,4.74129,0.000459906,5.80719,0.00148965,7.50079,0.00171785,8.21443,0.00251885,23.84342797679545,0.021896265,4.113808111,0.11320903280721442,,
399115,32,60,Hg,liquid,125,234.9,508.05,1.1,,,,,,,,,,,,,,,,,,
399118,32,60,Hg,liquid,125,235.8,508.95,1,,,,,,,,,,,,,,,,,,
399126,32,60,Hg + NaCl,liquid,132,255.9,529.05,1,2.9079,0.00165313,3.35545,0.000556879,4.74674,0.000230493,5.8151,0.000947869,7.50768,0.000891253,8.22801,0.0012535,23.725766648336712,0.010824897,4.268854346745154,0.076209808,,
399119,32,1200,Hg,liquid,125,236.3,509.45,1,,,,,,,,,,,,,,,,,,
399112,32,60,Hg + NaCl,solid,125,232.5,505.65,1.4,2.90229,0.00239198,3.34932,0.00134752,4.74043,0.000493748,5.80624,0.00149844,7.49828,0.00181605,8.21415,0.0024537,23.84586217171835,0.021332825,4.063520743234083,0.115959407,,
399121,32,60,Hg + NaCl,liquid,130,244.1,517.25,1.5,2.88256,0.00106664,3.3296,0.00103335,4.70974,0.00032928,5.76938,0.000574703,7.45077,0.000834324,8.15809,0.00146122,24.339982291542757,0.013056718,3.2718341040794274,0.05804012,,
399122,32,60,Hg + NaCl,liquid,132,248,521.15,2,2.90714,0.0012468,3.35405,0.000575744,4.74443,0.000232653,5.81223,0.000891942,7.50788,0.000837454,8.22193,0.00121436,23.778349592181403,0.010517935,4.217525004421871,0.062702871,,
399123,32,60,Hg + NaCl,liquid,132,251.85,525,1.2,2.90319,0.00128085,3.35272,0.000549916,4.74452,0.000239293,5.81202,0.000887455,7.50694,0.00087215,8.22349,0.00126609,23.764843089102698,0.010957669,4.180655429937606,0.063087359,,
399124,32,60,Hg + NaCl,liquid,132,254.9,528.05,1,2.90561,0.001719,3.35516,0.000561388,4.74576,0.000237255,5.81312,0.0010077,7.50738,0.000837622,8.22461,0.00119715,23.75515242840477,0.010355372,4.228183885763611,0.077821661,,
399125,32,1200,Hg,liquid,132,255.9,529.05,1,,,,,,,,,,,,,,,,,,
399120,32,60,Hg + NaCl,liquid,125,236.8,509.95,1,2.88256,0.00105832,3.3296,0.00102528,4.70974,0.000326709,5.76938,0.000570216,7.45077,0.000827811,8.15809,0.00144981,24.339982291542757,0.012954764,3.2718341040794274,0.057636096766633726,,
399111,32,60,Hg,solid,125,231.4,504.55,1.5,,,,,,,,,,,,,,,,,,
399103,32,60,Hg + NaCl,solid,117,209,482.15,2,2.89909,0.0015834,3.34393,0.00116674,4.73255,0.000567301,5.79656,0.00112679,7.48606,0.00143679,8.19936,0.0024948,23.97491283502353,0.021847011,3.8639658141731053,0.086546486,,
